Article Title,Source Title,Author Keywords,Abstract,relevance
Existence and stability of overconsumption equilibria,ECONOMIC MODELLING,Longevity; Mortality; Growth; Overconsumption; OLG model,"Growth models with endogenous mortality assume generally that life expectancy is increasing with output per capita and, thus, with individual consumption, whatever its level is. However, empirical evidence supports a U-shaped relationship between consumption and mortality, implying that the monotonicity of that relation is local but not global. This paper develops a two-period OLG model where life expectancy is a non-monotone function of consumption, and where agents form myopic anticipations about life expectancy. The existence, uniqueness and stability of steady-state equilibria are studied. It is shown that overconsumption equilibria - i.e. equilibria at which consumption exceeds the level maximizing life expectancy - exist in highly productive economies with a low impatience. We identify also conditions under which there exist long-run cycles in output and longevity around overconsumption equilibria. (C) 2010 Elsevier B.V. All rights reserved.",
Decomposing world health inequality,JOURNAL OF HEALTH ECONOMICS,health; inequality,"This study explores global inequality in health status and decomposes it into within-and between-country inequality. We rely on standardized height as our health indicator since it avoids the measurement pitfalls of more traditional measures of health such as morbidity, mortality, and life expectancy. It also avoids measurement problems associated with using monetary variables such as income or expenditure across time or place to compare welfare. Our calculation of world height inequality indicates that, in contrast with similar research on income inequality, within-country variation is the source of most inequality, rather than the differences between countries. (C) 2003 Elsevier Science B.V. All rights reserved.",
XX > XY?: The changing female advantage in life expectancy,JOURNAL OF HEALTH ECONOMICS,Life expectancy; Maternal mortality; Infectious disease,"Females live a lot longer than males in most parts of the world today. But that was not always the case. We ask when and why the female advantage emerged. We show that reductions in maternal mortality and fertility are only partial reasons. Rather, the sharp reduction in infectious disease in the early twentieth century played a role. Those who survive most infectious diseases carry a health burden that affects organs and impacts general well-being. We use newly collected data from Massachusetts containing information on cause of death since 1887 to show that females between the ages of 5 and 25 were disproportionately affected by infectious diseases. Both males and females lived longer as the burden of infectious disease fell, but women were more greatly impacted. Our explanation does not tell us precisely why women live longer than men, but it does help understand the timing of their relative increase. (C) 2019 Elsevier B.V. All rights reserved.",
Senior entrepreneurs: the impact of temporal perception on the entrepreneurial process,JOURNAL OF ORGANIZATIONAL CHANGE MANAGEMENT,Senior entrepreneurs; Time perception; Entrepreneurial career; Bridge employment; Entrepreneurial process exit; Temporal perspective,"PurposeLonger life expectancy brings a new phenomenon: senior entrepreneurship. Whereas starting a business involves investing energy, time, money or other types of resources, ageing is somewhat incompatible with these terms. Research on the impact of time perception on the entrepreneurial process is rather scarce. Considering the lack of knowledge related to the impact of time perception on the entrepreneurship process, this study aims to answer the following research question: how does temporal perception influence the entrepreneurial process?Design/methodology/approachSenior entrepreneurs are the most relevant category of individuals from which the impact of time perception could be observed, as they are objectively closer to the end of their careers than younger entrepreneurs. Therefore, longitudinal research was conducted by interviewing five senior entrepreneurs at 4-year intervals.FindingsResults show that there are two types of temporal perception in entrepreneurship: temporal perception of the entrepreneur's career and temporal perception of the enterprise's development. When these two-time perspectives are not synchronized with the entrepreneur's vision, the entrepreneur develops strategies for seeking to re-establish synchronicity between the temporal perspective (TP) of their entrepreneurial career and that of the business development. The senior entrepreneur is distinguished from a traditional entrepreneur by a limited TP of their entrepreneurial career combined with the notions of bridge employment and generativity.Research limitations/implicationsThe number of cases under study did not allow us to examine every possible type of situation. The sampling of the cases under study did not offer great diversity in terms of gender, as the study had only men. However, the range of ages at startup, from 50 to 65 years, provides greater diversity, as does the range of business segments that included the service, manufacturing and retail food industries.Originality/valueEntrepreneurs with a limited career time perspective correspond to senior entrepreneurs, while others who have an open career prospect, regardless of their age, correspond to any other form of an entrepreneur. This study has also been able to identify that an entrepreneur who realizes their limited entrepreneurial career horizon and perceives a temporal purpose of their company in the service of the involved parties tends to plan the entrepreneurial exit phase.",
Has mortality risen disproportionately for the least educated?,JOURNAL OF HEALTH ECONOMICS,Mortality; Death rates; Education gradients; Education quartiles,"We examine whether the least educated population groups experienced the worst mortality trends at the beginning of the 21st century by measuring changes in mortality across education quartiles. We document sharply differing gender patterns. Among women, mortality trends improved fairly monotonically with education. Conversely, male trends for the lowest three education quartiles were often similar. For both sexes, the gap in mortality between the top 25 percent and the bottom 75 percent is growing. However, there are many groups for whom these patterns are reversed - with better experiences for the less educated - or where the differences are statistically indistinguishable.",
The heterogeneous effect of information on student performance: Evidence from a randomized control trial in Mexico,JOURNAL OF DEVELOPMENT ECONOMICS,Information; Subjective expectations; School performance; Gender,"We use data from the randomized control trial of the Percepciones pilot to study whether providing 10th grade students with information about the average earnings associated with different educational attainments, life expectancy, and obtaining funding for higher education can contribute to improving student outcomes. We find that the intervention had no effects on a proxy for on-time high school completion, but a positive and significant impact on standardized test scores and self-reported measures of effort. The effects on standardized test scores are larger for girls and for students from households with relatively high incomes. We also find positive, but not statistically significant effects, on the probability of taking a university entry exam and of obtaining a high score in the exam.",
Cost-Effectiveness of Switching Patients with Type 2 Diabetes from Insulin Glargine to Insulin Detemir in Chinese Setting: A Health Economic Model Based on the PREDICTIVE Study,VALUE IN HEALTH,Chinese setting; cost-effectiveness; cost-utility; insulin detemir,"Objectives: To evaluate the long-term cost-effectiveness of switching from insulin glargine (IGla) to insulin detemir (IDet) in patients with type 2 diabetes in the setting of Chinese secondary and tertiary hospitals. Methods: A published and validated computer simulation model of diabetes (the Center for Outcomes Research model) was used to make the long-term (30 years) projection of health economic outcomes. Patient demographic information and clinical end points were derived from a subgroup analysis of the Predictable Results and Experience in Diabetes through Intensification and Control to Target: an International Variability Evaluation (PREDICTIVE) study. Baseline risk factors and racial characteristic data were obtained from Chinese cohort studies. The diabetes management and complications costs were obtained from Chinese published data and adjusted to 2010 values by using the Chinese consumer price index. An annual discounting rate of 3% was used for both health and cost outcomes, and one-way sensitivities analysis was performed, which illustrated that the results were robust. Results: Conversion to IDet from IGla was projected to improve patient life expectancy by 0.06 year and 0.48 quality-adjusted life-years. Drug costs and management costs of diabetes mellitus were increased by US$368 (US$17,466 vs. US$17,097) and US$31 (US$5464 vs. US$5433), respectively. However, the costs of complications, including cerebrovascular disease, renal complications, ulcer/amputation/neuropathy, eye complications, and hypoglycemia events, were reduced by US$ 819 (US$21,294 vs. US$22,114), resulting in a total direct medical cost saving of US$420 when converting to IDet. Conclusions: Conversion to IDet from an IGla regimen improved life expectancy and was a cost-saving treatment approach in a Chinese setting.",
Women farmers and community well-being under modeling uncertainty,APPLIED ECONOMIC PERSPECTIVES AND POLICY,female farmers; socioeconomic conditions; spatial Bayesian model averaging,"We examine the association between woman farmers and community well-being using U.S. county-level data. We address modeling uncertainty around three measures of community well-being by using a spatial Bayesian model averaging approach and find that a higher share of farms operated or owned by women in a county is associated with higher rates of new business formation, longer life expectancies, and lower poverty rates. The results are consistent with a growing literature that finds women business owners approach their businesses more holistically, with positive community spillovers.",
On the interaction between education and social security,REVIEW OF ECONOMIC DYNAMICS,education subsidies; demographic change; social security,"This paper uses an overlapping generations model with endogenous fertility choices to analyze the quantitative costs and benefits of subsidizing higher education, paying particular attention to the interaction between such policy and the sustainability of the social security system. The paper focuses on the demographic change as the mechanism that link both policies. It is found that an increase in education subsidies changes the educational composition of the population and lowers average fertility. Lower average fertility and higher life expectancy of educated individuals translates into changes in the age structure of the population that requires an increase in the social security tax rate in order to balance the pension budget. Such process reduces the welfare benefits of this educational policy since the rise in social security taxes lowers the after-tax lifetime earnings of almost all individuals born in the period of the policy reform and over. (C) 2004 Elsevier Inc. All rights reserved.",
Life-cycle decisions and general equilibrium in the heterogeneous-agent OLG economy,APPLIED ECONOMICS,Asset accumulation; financial decision; heterogeneous agents; life-cycle overlapping generations model; E10; E20; G00,"This study develops a life-cycle model to predict an overlapping generations economy with heterogeneous agents. In our proposed model, ex-ante heterogeneity includes the work probability, survival rate, subjective discount rate, and intertemporal elasticity of substitution. We observe differences in financial decisions and asset accumulation among heterogeneous agents and calculate equilibrium values of aggregate economic variables, such as consumption and capital. For the numerical analyses, we classify the population into four groups based on labour productivity and gender, and investigate the life-cycle behaviours of heterogeneous agents. Retirees in the male group with low labour productivity and low remaining life expectancy have the highest propensity to consume and the highest consumption elasticity for retirement shock compared to other retirees. Workers with relatively high labour productivity have lower risk adjustment factors, indicating that they are less concerned about retirement risk than less productive workers.",
