Article Title,Source Title,Author Keywords,Abstract,relevance
STRATEGIC MANAGEMENT APPROACHES TO IMPLEMENTING A HEALTH-PROMOTING FOOD LABELING SYSTEM,POLISH JOURNAL OF MANAGEMENT STUDIES,Food Labeling; Strategic Management; Mediterranean Index; Med Index; Cardiovascular Diseases,"This study centers on examining the advantages of incorporating the Mediterranean Diet into food labeling practices, widely recognized for its positive effects on health and longevity among Mediterranean populations. More specifically, it explores the potential of utilizing the Mediterranean Index (Med Index) for this purpose. The Med Index is a strategic tool to guide patrons towards healthier food choices aligned with the Mediterranean Diet, particularly those with cardiovascular concerns. This research conducts a systemic examination of the normative papers of the European Commission and scientific articles sourced from databases including Scopus, WoS and Google Scholar. The objective is to assess the efficacy and potential of the Med Index in fostering improved dietary practices. The primary aim of this labeling approach is to provide customers with knowledge regarding the impact of dietary choices on health. The analysis of the review articles discusses integrating circular economy principles into the Mediterranean diet, citing the BS 8001 standard as a crucial framework. The researchers recommend further research to understand consumer perceptions of the Med Index and its impact on food choices. Collaboration with stakeholders is crucial for successful implementation, and a long-term assessment of the diet's sustainability and environmental impact is needed, while public awareness campaigns and policy recommendations are vital for promoting the Mediterranean diet and the Med Index.",
Analysis of Factors that Influence Workers' Decision to Retire,ZHURNAL NOVAYA EKONOMICHESKAYA ASSOTSIATSIYA-JOURNAL OF THE NEW ECONOMIC ASSOCIATION,pension system; retirees; retirement age; elderly employment,"In recent years the problem of the increased number of pensioners and longer lifespan made motivation of elderly to work longer and retire later a very important objective in Russia. This article presents the results of the analysis of the factors that influence elderly's decision to retiree. For the purpose of this article the retirement was defined as elderly's decision to exit the labour market. It was determined that the most important factors are state of health, pension entitlement, labour income and marital status. Family factors (age difference between spouses, spouse's employment status and children below age of 15) were determined to be important for women only. Analysis showed that measures of stimulating elderly to work longer should be divided into two categories: 1) destimulation of labour market exit (psychological and legislative); 2) creation of conditions for voluntary extension of working life.",
HEXACO Personality Dimensions Do Not Predict Individual Differences in Adolescent Trust Behavior,GAMES,trust behavior; personality; HEXACO dimensions; adolescence,"Adolescence is an important developmental period for both trust behavior and personality maturation, and individual differences in trust decisions may be related to different personality traits. In the current study, a group of adolescents (n = 483, M-age = 13.5, SDage = 0.4) played two counterbalanced conditions of a multi-round trust game. In one condition, the partner displayed trustworthy behavior (the trustworthy condition), while the partner in the other condition played untrustworthy behavior (the untrustworthy condition). Three types of trust behavior were examined: initial trust behavior, the adaptation of trust behavior (trustworthy condition), and the adaptation of trust behavior (untrustworthy condition). Personality was measured using the Brief HEXACO Inventory. We expected the HEXACO personality dimensions of honesty-humility and agreeableness to be positively associated with initial trust behavior, but conscientiousness to be negatively related to initial trust behavior. The examination of the relationship between these dimensions and the adaptation of trust behavior were conducted on an exploratory basis. The investigation of the relationship between the remaining dimensions (emotionality, extraversion, and openness to experience) and the three types of trust behavior were also carried out on an exploratory basis. For each type of trust behavior, a hierarchical multiple regression analysis was undertaken to examine whether the HEXACO personality dimensions were related to trust behavior. Using frequentist analyses, no evidence was found that supported the HEXACO dimensions as significant predictors of the three types of trust behavior. Moreover, additional Bayesian analyses showed evidence that the hypothesized HEXACO dimensions (honesty-humility, agreeableness, and conscientiousness) did not outperform the non-hypothesized HEXACO dimensions (emotionality, extraversion, and openness to experience). The association between personality traits and trust might be less pronounced during adolescence as personality maturates across an individual's lifespan. Additionally, due to a heightened sensitivity to the environment, contextual cues may affect adolescent decision-making processes, leaving less room for personality-driven behaviors.",
Quality of Partner Relations in International Construction Alliances,INTERPARTNER DYNAMICS IN STRATEGIC ALLIANCES,,"Construction companies consider strategic alliances as a vehicle to enter new markets and exploit business opportunities. Through such alliances, they take advantage of the distinctive competencies and the complementary resources of their partners. Such entities are very difficult to manage mainly due to their inherent complexity, involving a mixture of different cultures, managerial systems, philosophies, and attitudes. As a result, partners in strategic alliances in international construction have a hard time figuring how to achieve high levels of quality in interpartner relations. A better understanding is critical in selecting the right partners, in getting along well with partners, and in realizing anticipated synergies. In this chapter, the key factors that affect the quality of interpartner relations in strategic alliances in international construction are explored. In this respect, the issues related to interpartner relations that is, (1) the strategic and organizational fit between partners, (2) the impact of cultural differences in national and organizational approaches, and (3) the structural characteristics of the strategic alliance-are operationalized and investigated. A framework for analyzing the relationship between interpartner relations and these three issues is presented. The research makes use of data collected from a questionnaire survey administered to 28 Turkish contractors that entered into a total of 68 strategic alliances with non-Turkish partners. The data are analyzed by using structural equation modeling. It is expected that the information in the chapter will help professionals during the partner selection process and will result in a successful alliance that operates smoothly.",
An intergenerational cross-country swap,JOURNAL OF RISK FINANCE,National economy; Hedging; Long-term planning; Risk analysis; Demographics,"Purpose - The purpose of this paper is to address the issue of intergenerational and international sharing of longevity and growth risks. Current research on worldwide demographic changes highlights the importance of longevity risk on financial markets and the need to devise optimal hedging vehicles. Design/methodology/approach - The paper presents a potential financial innovation between two countries at different stages of economic development and with different long-term challenges. This 30-year-long swap is structured in such a way to capture the different timing of needed funds of the two countries and the funding capabilities of each generation: the more developed economy requires funds in the future to cover expenses for its ageing population, while the developing economy needs funds today to pay for educational, technological, and other infrastructural services. To price the swap, the paper applies an exponential-utility-based pricing method and defines an interval of prices allowing a contract to be agreed upon. Findings - Via the exponential-utility-based pricing method, the paper shows how the bid-ask spread varies with respect to the governments' risk and time preferences. Originality/value - The paper is believed to be the first to illustrate the structuring and pricing of a long-term longevity swap between two countries at different stages of economic development and to discuss practical challenges derivative structures would face if they were to implement such a strategy.",
DEVELOPING MORTALITY IMPROVEMENT FORMULAS: THE CANADIAN INSURED LIVES CASE STUDY,NORTH AMERICAN ACTUARIAL JOURNAL,,"Longevity improvements have contributed to widespread underfunding of pension plans and losses in insured annuity portfolios. Insurers might reasonably expect some upside from the effect of lower mortality on their life business. Although mortality improvement scales, such as the Society of Actuaries Scale AA, are widely employed in pension and annuity valuation, the derivation of these scales appears heuristic, leading to problems in deriving meaningful measures of uncertainty. We explore the evidence on mortality trends for the Canadian life insurance companies, data, using stochastic models. We use the more credible population data to benchmark the insured lives data. Finally, we derive a practical, model-based formula for actuaries to incorporate mortality improvement and the associated uncertainty into their calculations.",
Are improvements in convenience good enough for consumers to prefer new food processing technologies?,AGRIBUSINESS,convenience; segmentation analyses; technology; willingness to pay,"We use choice experiments to investigate heterogeneity in preferences for a refrigerated ready-to-heat meal with an extended shelf life and the processing technology (i.e., microwave-assisted pasteurization) that provides that longevity. On average, an extra day of shelf life decreases the utility associated with purchasing and eating the meal. A segmentation analysis reveals the presence of convenience consumers, who are willing to pay a premium for a more convenient meal (with an extended shelf life), but the interaction effect of shelf life with technology reverts their willingness to pay for an extra day of shelf life, suggesting a negative reaction to the new technology. (EconLit Citations: Q13, Q16, Q19).",
On the Golden Rule of capital accumulation under endogenous longevity,MATHEMATICAL SOCIAL SCIENCES,Golden Rule; Health; Longevity; OLG models,"Health spending obviously increase with capital per worker. This paper derives the optimal accumulation policy in such a context. The optimal accumulation rule depends on whether health spending improve consumption enjoyment, and on whether the planner adheres to an instantaneous welfarist view or to a complete life view. First, when the only role of health is to enhance longevity, we show that the capital per worker maximizing steady-state consumption per head is inferior to the standard Golden Rule. Moreover, the capital per worker maximizing steady-state consumption per head, when consumption efficiency depends on the health status, tends to exceed the optimal capital level under purely longevity-enhancing spending. Finally, when the planner adheres to a complete life view, the capital per worker maximizing steady-state expected lifetime consumption per head exceeds the optimal capital per worker under the instantaneous view. (C) 2009 Elsevier B.V. All rights reserved.",
Pooling mortality risk in Eurozone state pension liabilities: An application of a Bayesian coherent multi-population cohort-based mortality model,INSURANCE MATHEMATICS & ECONOMICS,Public pensions; Risk pooling; Longevity; Bayesian statistics; Cohort mortality; Mortality modeling,"We design a coherent cohort-based multi-population mortality model, calibrate it to national mortality rates in the Eurozone using Human Mortality Database data, and use it to project developments in national mortality across the Eurozone. Combining this model with a stylized model of social security pensions in each country allows us to calculate the pension mortality risk in these systems and estimate the benefits of pooling it across the Eurozone. We examine three risk pools, which are all actuarially fair, but differ in how undiversifiable risk is allocated across countries. The first naive approach allocates undiversifiable risk in proportion to GDP, a second according to a CAPM-based measure of the undiversifiable risk each country contributes to the pool and a third ensures that the aggregate benefits of diversification are shared equitably across countries using a measure we adopt. In all cases, the benefits of risk pooling increase over time as mortality uncertainty accumulates, but fall over time as cross-country correlation increases due to the long-term dominance of the mortality trend, which by assumption is shared between countries. The peak benefit occurs around 2050, with an aggregate reduction in the standard deviation of pension expenditures of around 0.11% of GDP, or 3% of pension expenditure at the 99th percentile. We find that allocating undiversifiable risk proportional to GDP does not ensure an efficient allocation of undiversifiable risk across countries, given that different countries have markedly different pension mortality risk due to different pension system generosities as well as different mortality correlation with the Eurozone. Based on our results we propose a contract design that surmounts most of the moral hazard risks created by the pool, and suggest directions for future research. (C) 2021 Elsevier B.V. All rights reserved.",
Extreme Value Analysis of Mortality at the Oldest Ages: A Case Study Based on Individual Ages at Death,NORTH AMERICAN ACTUARIAL JOURNAL,,"In this article, the force of mortality at the oldest ages is studied using the statistical tools from extreme value theory. A unique data basis recording all individual ages at death above 95 for extinct cohorts born in Belgium between 1886 and 1904 is used to illustrate the relevance of the proposed approach. No leveling off in the force of mortality at the oldest ages is found, and the analysis supports the existence of an upper limit to human lifetime for these cohorts. Therefore, assuming that the force of mortality becomes ultimately constant, that is, that the remaining lifetime tends to the Negative Exponential distribution as the attained age grows is a conservative strategy for managing life annuities.",
