Title,Source title,Year,DOI,Cited by,term_loc
Impact of urbanization and income inequality on life expectancy of male and female in South Asian countries: a moderating role of health expenditures,Humanities and Social Sciences Communications,2023,10.1057/s41599-023-02005-1,36,title
Resource dependence and life expectancy in sub-Saharan Africa: Does financial sector stability break the curse?,Resources Policy,2024,10.1016/j.resourpol.2024.105243,13,title
The Impact of Digitalization on Socio-Economic Development of the Metropolis (on the Example of Almaty),Economy: strategy and practice,2023,10.51176/1997-9967-2023-2-57-73,0,abstract
Mobile money innovations and health performance in sub-Saharan Africa,Technology in Society,2023,10.1016/j.techsoc.2023.102312,9,abstract
Cost-Effectiveness of Mepolizumab Add-On in the Treatment of Severe Eosinophilic Asthma in Chile,Value in Health Regional Issues,2023,10.1016/j.vhri.2022.12.007,8,abstract
Exploring the determinants of ecological efficiency in selected emerging economies using pooled mean group estimator,Regional Statistics,2023,10.15196/RS130207,3,abstract
A review of IoT systems to enable independence for the elderly and disabled individuals,Internet of Things (Netherlands),2023,10.1016/j.iot.2022.100653,98,abstract
Reprint of: Instilling the core tenets of hospitality in healthcare services: The role of service assurance and social presence,International Journal of Hospitality Management,2023,10.1016/j.ijhm.2023.103514,5,abstract
The role of gender life expectancy in environmental degradation: new insights for the BRICS economies,"Environment, Development and Sustainability",2024,10.1007/s10668-023-03097-0,16,title
"In search of growth in Mexico, what about social convergence?; [En busca del crecimiento en México, ¿y si hablamos de convergencia social?]",Problemas del Desarrollo,2023,10.2110/palo.2021.063,0,abstract
Beyond a single story: The heterogeneity of human flourishing in 22 countries,International Journal of Wellbeing,2023,10.5502/ijw.v13i4.3555,21,abstract
"Investigating the role of health, education, energy and pollution for explaining total factor productivity in emerging economies",Humanities and Social Sciences Communications,2022,10.1057/s41599-022-01083-x,9,abstract
Piece-wise Droop Control Algorithm in Renewable Fed DC Microgrid Voltage Regulation using Super-capacitors,Smart Grids and Sustainable Energy,2024,10.1007/s40866-024-00209-1,6,abstract
Cost-Effectiveness Analysis of Inguinal Hernia Repair With Mesh Performed by Surgeons and Medical Doctors in Ghana,Value in Health Regional Issues,2022,10.1016/j.vhri.2022.07.004,7,INDEX_KW_ONLY
Quality of life: The role of tourism and renewable energy,"International Journal of Applied Economics, Finance and Accounting",2024,10.33094/ijaefa.v18i1.1286,4,abstract
Examination of a Health Production Function: Evidence from South Asian Countries,Southeast Asian Journal of Economics,2022,,9,abstract
The role of public health expenditure in reducing infant mortality rate in India: insights from cointegration analysis,International Journal of Health Governance,2024,10.1108/IJHG-06-2024-0074,1,INDEX_KW_ONLY
Life expectancy trends in Western countries,Futuribles: Analyse et Prospective,2022,,0,title
Sex Differential Dynamics in Coherent Mortality Models,Forecasting,2022,10.3390/forecast4040045,1,abstract
Infectious diseases and health outcomes’ implications of natural resource curse in Africa,Resources Policy,2023,10.1016/j.resourpol.2023.103394,12,abstract
Cost-Effectiveness of Empagliflozin in Combination with Standard Care versus Standard Care Only in the Treatment of Heart Failure Patients in Finland,ClinicoEconomics and Outcomes Research,2023,10.2147/CEOR.S391455,16,abstract
"Nexus Between Life Expectancy, Education, Governance, and Carbon Emissions: Contextual Evidence from Carbon Neutrality Dream of the USA",Journal of the Knowledge Economy,2024,10.1007/s13132-024-01839-7,4,title
Determinants of health system efficiency in middle-east countries-DEA and PLS-SEM model approach,International Journal of System Assurance Engineering and Management,2024,10.1007/s13198-023-02159-w,13,abstract
"Years of Life Lost due to Premature Mortality in Russia, 1990-2021",Population and Economics,2024,10.3897/popecon.8.e112749,2,abstract
Economic Impact of Metabolic Dysfunction-Associated Steatotic Liver Disease (MASLD) in Italy. Analysis and Perspectives,ClinicoEconomics and Outcomes Research ,2024,10.2147/CEOR.S472446,9,INDEX_KW_ONLY
CLEAN ENERGY A COMPETITIVE ALTERNATIVE FOR MICROENTERPRISES DESPITE INVESTMENT UNCERTAINTY IN MEXICO,Fuzzy Economic Review,2023,10.25102/fer.2023.02.02,0,abstract
Scheduling of the HVAC system in a real commercial building considering equipment cycling and rebound effects,Frontiers in Energy Research,2023,10.3389/fenrg.2023.1283369,1,abstract
Bayesian joint modelling of life expectancy and healthy life expectancy and valuation of retirement village contract,Scandinavian Actuarial Journal,2024,10.1080/03461238.2023.2232816,6,title
Population Aging Under Pandemic Conditions; [Bevölkerungsalterung unter Pandemiebedingungen],Wirtschaftsdienst,2023,10.2478/wd-2023-0038,0,abstract
"Analyzing the Interaction Among Tourism, Life Expectancy, and Unemployment in Japan: Insights From Cointegration and Conditional Causality Approach",International Journal of Tourism Research,2024,10.1002/jtr.2736,20,title
Losses of lifetime employment duration and productivity for patients with different subtypes and stages of lung cancer,European Journal of Health Economics,2024,10.1007/s10198-023-01624-4,6,INDEX_KW_ONLY
Influence of social determinants of health in the evolution of the quality of life of older adults in Europe: A comparative analysis between men and women,Humanities and Social Sciences Communications,2024,10.1057/s41599-024-02899-5,8,abstract
Models of Collective Behavior in Russia: Past (300 Years) and Future; [Модели коллективного поведения в России: прошлое (300 лет) и будущее],Mir Rossii,2023,10.17323/1811-038X-2023-32-4-36-55,0,abstract
"Digital Transformation: Background, Trends, Risks, and Threats",Social and Legal Studios,2022,10.32518/2617-4162-2022-5-2-61-67,10,abstract
Ecocentrism and Biosphere Life Extension,Science and Engineering Ethics,2022,10.1007/s11948-022-00404-2,12,INDEX_KW_ONLY
The Role of Environmental Conditions and Purchasing Power Parity in Determining Quality of Life among Big Asian Cities,International Journal of Energy Economics and Policy,2023,10.32479/ijeep.13583,12,abstract
"Recognising Reality, Designing a Sustainable Pension System; [Realitäten anerkennen, Rente zukunftsfähig gestalten]",Wirtschaftsdienst,2024,10.2478/wd-2024-0027,0,abstract
INTENSITY OF PHYSICAL ACTIVITY AND QUALITY OF LIFE AMONG OLDER ADULTS,Polish Journal of Sport and Tourism,2023,10.2478/pjst-2023-0024,2,abstract
"The Effect of Education, Health and Per Capita Income on Poverty Rate in Maluku Province",Daengku,2024,10.35877/454RI.daengku2567,0,abstract
"Modeling the Relationship between Life Expectancy, Population Growth, Carbon Dioxide Emission, and GDP Growth in Indonesia",International Journal of Energy Economics and Policy,2024,10.32479/ijeep.16303,7,title
Systemic analysis of the vaccination program in Argentina; [Análisis sistémico del programa de vacunación en Argentina],Health Leadership and Quality of Life,2023,10.56294/hl202332,24,abstract
Modelling socio-economic mortality at neighbourhood level,ASTIN Bulletin,2023,10.1017/asb.2023.12,12,abstract
Do not PIMP my nursing home ride! The impact of Potentially Inappropriate Medications Prescribing on residents’ emergency care use,European Journal of Health Economics,2023,10.1007/s10198-022-01534-x,1,INDEX_KW_ONLY
Identifying the most important life expectancy factors for individual U.S. counties,Applied Geography,2022,10.1016/j.apgeog.2022.102786,3,title
What is the impact of social well-being factors on happiness?,European Journal of Management Studies,2023,10.1108/EJMS-01-2022-0004,11,abstract
Introducing Autonomous Shuttle Services Based on Travel Patterns for the Elderly,Journal of Advanced Transportation,2023,10.1155/2023/2206625,11,abstract
The emotional path to influencing decision-making: harnessing emotions for better financial choices,Frontiers in Behavioral Economics,2024,10.3389/frbhe.2024.1393384,0,abstract
Clinical practice review on population health management and promoting positive health outcomes,Journal of Hospital Management and Health Policy,2023,10.21037/jhmhp-23-106,3,abstract
Issues and Challenges in the Development of Manipur Economy: An Overview,Indian Journal of Human Development,2024,10.1177/09737030251327981,0,abstract
"Electricity access, institutional infrastructure and health outcomes in Africa","Environment, Development and Sustainability",2023,10.1007/s10668-021-02048-x,20,abstract
The Causal Impact of Solid Fuel Use on Mortality – A Cross-Country Panel Analysis,International Journal of Energy Economics and Policy,2023,10.32479/ijeep.13498,2,abstract
"PATHWAYS FROM POVERTY: THE CORRELATIONS AND PROBABILITIES OF PENURY LIFE IN 131 COUNTRIES, 1980-2022",Applied Econometrics and International Development,2024,,0,abstract
Instilling the core tenets of hospitality in healthcare services: The role of service assurance and social presence,International Journal of Hospitality Management,2023,10.1016/j.ijhm.2023.103492,10,abstract
FISCAL SUSTAINABILITY AND HEALTH OUTCOMES IN NIGERIA,Nigerian Journal of Economic and Social Studies,2023,,1,abstract
Dynamic of the disablement process in ageing populations; [Dynamique du processus de perte d’autonomie dans les populations vieillissantes],Economie et Statistique,2023,10.24187/ecostat.2023.538.2090,1,abstract
Efficiency Determinants in Healthcare: A Systematic Review With an Integrated Canonical Correlation Analysis–Data Envelopment Analysis/Assurance Region Model,Journal of Healthcare Management,2023,10.1097/JHM-D-22-00086,4,INDEX_KW_ONLY
Spatial and visual comparison analysis of health disparities in London neighbourhoods: the case of Southwark and Lambeth,Journal of Hospital Management and Health Policy,2024,10.21037/jhmhp-23-138,4,abstract
The influence of the hole-generation process on fatigue response of open-hole and assembled titanium samples,Journal of Manufacturing Processes,2024,10.1016/j.jmapro.2024.01.007,9,abstract
Retirement Wealth Adequacy Estimation based on Income Group Classification: A Case study in Malaysia; [Определение достаточности пенсионного обеспечения в Малайзии на основе классификации групп по уровню дохода],Finance: Theory and Practice,2023,10.26794/2587-5671-2023-27-4-30-41,0,abstract
Modeling Life Expectancy in Indonesia Using System GMM Model,Review of Applied Socio-Economic Research,2023,10.54609/reaser.v25i1.338,2,title
"Where will older adults reside? Evidence from Calgary, Canada",Cities,2024,10.1016/j.cities.2024.104924,4,abstract
Analyzing inequalities: a multifaceted perspective of OECD welfare regimes during the Great Recession and the Pandemic,International Review of Economics,2024,10.1007/s12232-024-00448-9,2,abstract
Lengthening battery life expectancy of sensors in WBANs: A multifactorial approach,Internet of Things (Netherlands),2024,10.1016/j.iot.2024.101071,9,title
"Compressed development, decompression, and diverging convergence in South Korea: which varieties of capitalism in contemporary Korea?",Review of Evolutionary Political Economy,2024,10.1007/s43253-024-00117-1,2,abstract
A Prediction Model for Electric Vehicle Sales Using Machine Learning Approaches,Journal of Global Information Management,2023,10.4018/JGIM.327277,21,abstract
"THE EFFECT OF HEALTH EXPENDITURES ON HEALTH OUTCOMES: A PANEL STUDY ON 9 ASIAN DEVELOPING COUNTRIES, 2000-2019",Applied Econometrics and International Development,2024,,0,abstract
"SUB-SAHARAN AFRICA: TRENDS, PROPORTIONS AND FACTORS OF DEVELOPMENT",World Economy and International Relations,2024,10.20542/0131-2227-2024-68-6-40-51,1,abstract
Evaluating the Clinical and Economic Outcomes Associated with Poor Glycemic Control in People with Type 1 Diabetes in the Netherlands,ClinicoEconomics and Outcomes Research,2023,10.2147/CEOR.S391626,5,abstract
"The Nexus Between Remittances, Natural Resources, Economic Growth, Healthcare and Environmental Sustainability In CIS Countries",International Journal of Energy Economics and Policy,2024,10.32479/ijeep.15491,3,abstract
Generalized Structural Equation Model with Survival Outcomes and Time-Varying Coefficients,Structural Equation Modeling,2023,10.1080/10705511.2022.2049270,2,abstract
Toward a Sustainable Pension System,Journal of Retirement,2023,10.3905/jor.2022.1.126,1,abstract
Cost-Effectiveness of Glucose-Lowering Therapies as Add-on to Standard Care for People With Type 2 Diabetes in Malaysia,Value in Health Regional Issues,2023,10.1016/j.vhri.2023.05.006,3,INDEX_KW_ONLY
Cost-Savings Associated with Multi-Disciplinary Team Approach for Reducing Macrovascular and Microvascular Complications in Patients with Type 2 Diabetes: A Predictive Model,ClinicoEconomics and Outcomes Research,2024,10.2147/CEOR.S451739,6,INDEX_KW_ONLY
Gender and placemaking: talking to women about clean air and sustainable urban environments in changing cities,Journal of Place Management and Development,2023,10.1108/JPMD-04-2021-0035,3,abstract
"Income Inequality and Health Outcomes Among Ten Asian Countries, 1990-2016",Economic Alternatives,2024,10.37075/EA.2024.3.01,0,abstract
Worker saving attitude towards retirement planning: A study on Indian textile industry; [Atitudinea de economisire a angajaților față de planificarea pensionării: Un studiu de caz privind industria textilă din India],Industria Textila,2023,10.35530/IT.074.05.202316,3,abstract
The Contribution of Economic Complexity to Social Welfare in Africa,Journal of the Knowledge Economy,2024,10.1007/s13132-024-01900-5,9,abstract
The effect of health expenditure on average life expectancy: does government effectiveness play a moderating role?,International Journal of Health Governance,2022,10.1108/IJHG-03-2022-0027,35,title
Is Population Growth a Requisite For National Economic Growth? A Revisit of the Debate Using Panel Data Analysis,Iranian Economic Review ,2024,10.22059/ier.2024.344648.1007482,0,abstract
From Gerontocratic Rule to Political Adultism: The Experiential Bias in Germany’s Aging Electoral Democracy and the Limitations of a Vote 16 Policy,"Statistics, Politics and Policy",2024,10.1515/spp-2023-0041,1,abstract
Exploring the dynamic impacts of natural resources and environmental pollution on longevity in resource-dependent African countries: Does income level matter?,Resources Policy,2022,10.1016/j.resourpol.2022.102959,28,abstract
The Impact of Unrelated Future Medical Costs on Economic Evaluation Outcomes for Different Models of Diabetes,Applied Health Economics and Health Policy,2024,10.1007/s40258-024-00914-z,2,INDEX_KW_ONLY
China’s Belt and Road Initiative and Life Expectancy in Host Countries: Empirical Analysis,International Advances in Economic Research,2023,10.1007/s11294-023-09884-9,0,title
Philoxenia — the DNA of hospitality: hype or cure?,Research in Hospitality Management,2024,10.1080/22243534.2024.2322222,1,abstract
Assessing the effects of terrorism on female health outcomes: Evidence from sub-Saharan African countries,Applied Econometrics,2023,10.22394/1993-7601-2023-71-63-75,2,abstract
The linkage among socio-economic indicators and life expectancy in selected ASEAN+3 countries,International Journal of Economics and Business Research,2023,10.1504/IJEBR.2023.133085,1,title
"Public health expenditure, government effectiveness and labour productivity in West Africa",Nurture,2024,10.55951/NURTURE.V18I1.543,2,author_kw
Addressing the resource curse: Empirical analysis of greenhouse gas mitigation strategies for sustainable development,Resources Policy,2024,10.1016/j.resourpol.2023.104454,2,abstract
Should Glidepaths Be Gender-Specific?,Journal of Wealth Management,2023,10.3905/JWM.2023.1.213,0,abstract
Gender perspective on the determinants of health outcomes in selected Southern African countries,Humanities and Social Sciences Letters,2024,10.18488/73.v12i2.3654,1,author_kw
Special pension schemes for workers in arduous and hazardous jobs: Functions and conditions to ensure equal treatment,International Social Security Review,2023,10.1111/issr.12318,3,abstract
Healthcare in Russia: Macroeconomic Parameters and Structural Issues,Studies on Russian Economic Development,2023,10.1134/S1075700723020065,4,author_kw
"Health Expenditures, Health Infrastructure and Health Status in SAARC Countries: A Panel Data Analysis",Vikalpa,2022,10.1177/02560909221113382,7,abstract
Climate Risks of Social Development of the Yamal‑Nenets Autonomous District,Studies on Russian Economic Development,2023,10.1134/S1075700723040147,4,author_kw
Determinants of the efficiency of public health spending in Latin America: A stochastic frontier evaluation; [Determinantes de la eficiencia del gasto público sanitario en Latinoamérica: Una evaluación de frontera estocástica],Latin American Research Review,2023,10.1017/lar.2023.26,1,abstract
Exploring the Spatial Dynamics of FEW Nexus Policies and Their Impact on Income Inequality Using Spatial Econometric Models: Evidence from Southeast Asian Countries,International Journal of Economics and Financial Issues,2024,10.32479/ijefi.15789,1,abstract
"Kudzu (Pueraria lobata) vine isoflavones, at a dose lower than the recommended daily allowance in Japan, prevents bone loss in ovariectomized mic",Food Science and Technology Research,2023,10.3136/fstr.FSTR-D-22-00103,5,abstract
"Revisiting the determinants of life expectancy in Asia—exploring the role of institutional quality, financial development, and environmental degradation","Environment, Development and Sustainability",2024,10.1007/s10668-023-03283-0,44,title
"Guessing, math, or something else? Lay people's processes for valuing annuities",Journal of Behavioral Decision Making,2023,10.1002/bdm.2316,2,abstract
"Untangling the complex web of environmental, social, and economic impacts in deep and large-scale open-pit mining projects using a dynamic modeling framework",Resources Policy,2024,10.1016/j.resourpol.2024.104690,12,abstract
Digital Twin-assisted Blockchain-inspired irregular event analysis for eldercare,Knowledge-Based Systems,2023,10.1016/j.knosys.2022.110138,43,abstract
Cost-Effectiveness Analysis of Macitentan in Comparison With Bosentan in the Treatment of Pulmonary Arterial Hypertension in Iran,Value in Health Regional Issues,2023,10.1016/j.vhri.2022.10.001,5,abstract
Evaluation of the validity and reliability of the 10-meter walk test using a smartphone application among Japanese older adults,Frontiers in Sports and Active Living,2022,10.3389/fspor.2022.904924,18,abstract
"Analysis of the Relationship between the Obesity of Owners, Their Dogs, and One Welfare: A Literature Review; [Análisis de la relación entre la obesidad de tutores, sus perros y One Welfare. Una Revisión bibliográfica]",European Public and Social Innovation Review,2024,10.31637/epsir-2024-1126,0,abstract
"FAILURE TO COMPLY WITH LAWS, VIOLATION OF LABOR RIGHTS, AND THEIR POSSIBLE RELATIONSHIP TO THE INCREASE IN SUICIDES AND DEPRESSION; [INOBSERVANCIA DE LAS LEYES, VULNERACIÓN DE DERECHOS LABORALES, Y SU POSIBLE RELACIÓN AL AUMENTO DE LOS SUICIDIOS Y DEPRESIÓN]",Universidad y Sociedad,2022,,1,abstract
The Implementation of Ocular Health Service System Using Android Flatform,Journal of ICT Standardization,2022,10.13052/jicts2245-800X.1034,1,abstract
Planning and managing public housing stock in the silver economy,International Journal of Production Economics,2023,10.1016/j.ijpe.2023.108848,9,abstract
Comparative Analysis of the Healthcare Delivery System in China and Nigeria: A Review,Value in Health Regional Issues,2024,10.1016/j.vhri.2023.09.010,5,abstract
SOCIAL WELL-BEING AS A CRITERION FOR DEVELOPMENT OF NATIONS (On the Issue of Assessment Methodology),World Economy and International Relations,2024,10.20542/0131-2227-2024-68-10-125-136,0,abstract
"Effect of Longevity on Economic Growth, Accounting for Variability in Demographic Transition: Evidence for Pakistan using ARDL Bounds Testing Approach",Seisense Journal of Management,2024,10.33215/5nqqge53,1,abstract
PROFILE OF SENIOR BUSINESS FAILURE; [VYRESNIO AMŽIAUS VERSLO NESĖKMĖS PROFILIS],Transformations in Business and Economics,2024,,0,abstract
Analysing the Effects of Environmental Changes on Public Health Quality Indicators; [Análisis de los efectos de los cambios ambientales en los indicadores de calidad de la salud pública],Health Leadership and Quality of Life,2023,10.56294/hl2023243,8,abstract
"Life Expectancy in Indonesia: The Role of Health Infrastructure, Political, and Socioeconomic Status",Iranian Economic Review,2023,10.22059/ier.2023.329904.1007259,8,title
Influence of tax dodging on tax justice in developing countries: some theory and evidence from Sub-Saharan Africa,Journal of Financial Crime,2023,10.1108/JFC-01-2022-0012,7,abstract
