title,source_title,year,doi,total_citations_wos_core
Longevity and welfare in general equilibrium,MATHEMATICAL SOCIAL SCIENCES,2018,10.1016/j.mathsocsci.2018.01.003,1
An investigation into the impact of deprivation on demographic inequalities in adults,ANNALS OF ACTUARIAL SCIENCE,2020,10.1017/S1748499520000068,11
The Child is Father Of the Man: Implications for the Demographic Transition,ECONOMIC JOURNAL,2013,10.1111/j.1468-0297.2012.02523.x,45
The moderating role of financial development in the nexus between population aging and saving,ECONOMIC CHANGE AND RESTRUCTURING,2024,10.1007/s10644-024-09670-5,0
Optimal policies in an ageing society,JOURNAL OF THE ECONOMICS OF AGEING,2023,10.1016/j.jeoa.2023.100475,0
An Indexation Mechanism for Retirement Age: Analysis of the Gender Gap,RISKS,2019,10.3390/risks7010021,7
Health and economic development: evidence from non-OECD countries,APPLIED ECONOMICS,2021,10.1080/00036846.2021.1939856,6
Efficient estimation of factor models with time and cross-sectional dependence,JOURNAL OF APPLIED ECONOMETRICS,2017,10.1002/jae.2571,2
Life Insurance Demand Analysis: Evidence from Visegrad Group Countries,EASTERN EUROPEAN ECONOMICS,2022,10.1080/00128775.2021.1996248,4
LIFE EXPECTANCY AND SPECIFIC CAUSES OF MORTALITY IN TERMS OF GENDER INEQUALITIES IN RELATION TO ECONOMIC GROWTH,TRANSFORMATIONS IN BUSINESS & ECONOMICS,2021,,1
The effect of population health on the inflows of foreign direct investment in Africa,RESEARCH IN GLOBALIZATION,2023,10.1016/j.resglo.2023.100114,1
Do patients registered with CAM-trained GPs really use fewer health care resources and live longer? A response to Kooreman and Baars. Eur J Health Econ (2012). 13:469-776,EUROPEAN JOURNAL OF HEALTH ECONOMICS,2013,10.1007/s10198-013-0466-3,1
Venture capital healthcare investments and health care sector growth: A panel data analysis of Europe,BORSA ISTANBUL REVIEW,2022,10.1016/j.bir.2021.06.008,11
Causal relationship between FDI and poverty reduction in South Africa,COGENT ECONOMICS & FINANCE,2017,10.1080/23322039.2017.1357901,17
"A Multigene Prognostic Assay for Selection of Adjuvant Chemotherapy in Patients with T3, Stage II Colon Cancer: Impact on Quality-Adjusted Life Expectancy and Costs",VALUE IN HEALTH,2012,10.1016/j.jval.2012.07.012,20
THE INFLUENCE OF SUBJECTIVE LIFE EXPECTANCY ON HEALTH STATE VALUATIONS USING A 10 YEAR TTO,HEALTH ECONOMICS,2009,10.1002/hec.1385,46
Who Really Benefits from Pension Systems? When Life Expectancy Matters,REVUE D ECONOMIE POLITIQUE,2009,10.3917/redp.194.0613,2
"Demographic change, social security systems, and savings",JOURNAL OF MONETARY ECONOMICS,2007,10.1016/j.jmoneco.2006.12.004,157
Monetary value of a life expectancy gain due to reduced air pollution: Lessons from a contingent valuation in France,REVUE D ECONOMIE POLITIQUE,2007,10.3917/redp.175.0675,10
Common Factor Cause-Specific Mortality Model,RISKS,2021,10.3390/risks9120221,2
"An investigation of time preferences, life expectancy, and annuity versus lump sum choices: Can smoking harm long-term saving decisions?",JOURNAL OF ECONOMIC BEHAVIOR & ORGANIZATION,2020,10.1016/j.jebo.2019.05.011,5
From carrer specificities to institutional pension scheme specificities: A microsimulation of public vs private sector pensions,REVUE ECONOMIQUE,2000,10.2307/3503191,0
Economic development and health improvement: mutual support in the historical UK (1541-2001),INTERNATIONAL JOURNAL OF SOCIAL ECONOMICS,2018,10.1108/IJSE-01-2017-0002,0
GDP growth and convergence determinants in the European Union: a crisp-set analysis,REVIEW OF ECONOMIC PERSPECTIVES,2016,10.1515/revecp-2016-0017,7
Women in cabinet and public health spending: evidence across countries,ECONOMICS OF GOVERNANCE,2014,10.1007/s10101-014-0141-x,35
Life expectancy and labor supply of the elderly,JOURNAL OF POPULATION ECONOMICS,2012,10.1007/s00148-011-0369-5,34
LONGEVITY VARIATIONS AND THE WELFARE STATE,JOURNAL OF DEMOGRAPHIC ECONOMICS,2016,10.1017/dem.2016.4,17
Eudaimonic wellbeing and life expectancy,KYKLOS,2023,10.1111/kykl.12324,5
A Measure of Well-being Efficiency Based on the World Happiness Report,INTERNATIONAL PRODUCTIVITY MONITOR,2022,,0
DESIGNING BENEFIT RULES FOR FLEXIBLE RETIREMENT: WELFARE VS. REDISTRIBUTION,ACTA OECONOMICA,2011,10.1556/AOecon.61.2011.1.2,5
A discrete choice experiment to assess patients' preferences for HIV treatment in the rural population in Colombia,JOURNAL OF MEDICAL ECONOMICS,2020,10.1080/13696998.2020.1735398,10
Pollution and life expectancy: How environmental policy can promote growth,ECOLOGICAL ECONOMICS,2009,10.1016/j.ecolecon.2008.07.011,58
Educational inequalities in longevity in 18 OECD countries,JOURNAL OF DEMOGRAPHIC ECONOMICS,2022,10.1017/dem.2021.22,19
Does inequality in health impede economic growth?,OXFORD ECONOMIC PAPERS-NEW SERIES,2011,10.1093/oep/gpr002,14
Living longer in high longevity risk,JOURNAL OF DEMOGRAPHIC ECONOMICS,2020,10.1017/dem.2019.20,3
